s;F;;s;F;;s;F;;s;F
14,56228059;4,965624809;;14,53910264;4,966234207;;14,78819334;4,96150732;;14,53688374;4,979319572
14,56627458;4,934283257;;14,54315385;4,921648026;;14,79192984;4,931981564;;14,54069081;4,941447258
14,57654184;4,867846489;;14,55323609;4,835664749;;14,80214941;4,8531394;;14,55069676;4,853442192
14,58253854;4,985990524;;14,55936554;4,952708244;;14,80761647;4,958530426;;14,55606559;4,954422951
14,57223028;5,291303635;;14,54906055;5,285449028;;14,79725575;5,205623627;;14,54739645;5,220734596
14,5621671;5,541120529;;14,53900119;5,580004692;;14,7872231;5,426265717;;14,53726462;5,467804909
14,55153173;5,829938889;;14,52839252;5,921557426;;14,77658009;5,690792084;;14,52683142;5,76126194
14,54083913;6,148786545;;14,51772663;6,297167778;;14,76591801;5,986812592;;14,51626089;6,101716042
14,53063482;6,463117599;;14,50749358;6,661462307;;14,75569844;6,283321381;;14,50609091;6,448395729
14,52015203;6,776594162;;14,49699935;7,033044338;;14,74520421;6,586421967;;14,49563101;6,792878151
14,50947469;7,094465256;;14,48632583;7,383752346;;14,73454213;6,885128021;;14,48498038;7,135163307
14,49869436;7,401960373;;14,47554549;7,72127676;;14,72375417;7,16979599;;14,47422675;7,473176003
14,48783773;7,69785881;;14,46470412;8,050621986;;14,71288228;7,455440521;;14,46338538;7,79251194
14,47692769;7,988752365;;14,45380935;8,376671791;;14,70196593;7,732772827;;14,45250586;8,102570534
14,46599477;8,291975021;;14,4428688;8,689782143;;14,69106352;8,001693726;;14,44156531;8,412507057
14,45504659;8,582258224;;14,43190536;9,011315346;;14,6801306;8,267318726;;14,43060187;8,719513893
14,44407552;8,88523674;;14,42094192;9,332726479;;14,66917479;8,542953491;;14,41964606;9,021393776
14,43308156;9,180524826;;14,40995559;9,6381464;;14,65821135;8,80430603;;14,40866736;9,326081276
14,42210286;9,469709396;;14,39897689;9,943322182;;14,64820921;9,048324585;;14,39768866;9,627106667
14,41110891;9,754499435;;14,38799056;10,23616886;;14,63819945;9,290267944;;14,38768652;9,902863503
14,40012258;10,03245354;;14,37797317;10,50643253;;14,62721312;9,555648804;;14,37766913;10,17288303
14,38912862;10,31370354;;14,36797103;10,76607609;;14,61720335;9,781967163;;14,36766699;10,43887424
14,37909597;10,56858635;;14,3569847;11,06112003;;14,60718596;10,01548767;;14,35668066;10,73281956
14,3690862;10,82407951;;14,34599074;11,34969425;;14,59716856;10,24351501;;14,34568671;11,03311253
14,35809987;11,09910393;;14,33598098;11,62093449;;14,58715117;10,46604919;;14,33468512;11,32644749
14,34711355;11,38364983;;14,32596358;11,88094425;;14,5771414;10,69493103;;14,32467535;11,58206272
14,33711141;11,63767815;;14,31595382;12,14498234;;14,56614744;10,94200134;;14,31466559;11,84060764
14,32709401;11,88938713;;14,30592879;12,39901066;;14,55517638;11,19297791;;14,30464819;12,10257053
14,31708425;12,13340569;;14,29493484;12,68441105;;14,54516661;11,42320251;;14,29464606;12,35550022
14,30705922;12,38157463;;14,28395614;12,95943546;;14,53417265;11,67332458;;14,28366736;12,62600803
14,29705709;12,61655998;;14,273954;13,20626163;;14,52318632;11,91233826;;14,27365759;12,87735081
14,28608602;12,87290764;;14,26395186;13,4572382;;14,51317656;12,13780212;;14,26365546;13,12905979
14,27608388;13,10691643;;14,25394973;13,71566105;;14,50315916;12,35606384;;14,25364879;13,38332272
14,26607412;13,34556389;;14,24394759;13,96883488;;14,49315703;12,56773376;;14,24364665;13,62782955
14,25508016;13,60679436;;14,23296889;14,24739933;;14,48314726;12,79270935;;14,23266796;13,90761471
14,24507802;13,84483147;;14,22197494;14,53145695;;14,47314513;13,01890564;;14,221674;14,18654537
14,23409134;14,10826588;;14,21196517;14,78450871;;14,46215117;13,25791931;;14,21166423;14,43508053
14,22309738;14,38304615;;14,20196303;15,03572941;;14,45115721;13,49546814;;14,2016621;14,6753149
14,21309524;14,62169361;;14,19195327;15,28231144;;14,44115507;13,72093201;;14,19165996;14,91896725
14,20308548;14,85704517;;14,18195113;15,53682804;;14,43114531;13,93418884;;14,18165782;15,15822506
14,19307571;15,09642506;;14,17194137;15,79097843;;14,42015135;14,17271423;;14,17164806;15,40151119
14,18306595;15,34288502;;14,16094741;16,07210732;;14,41014921;14,39622498;;14,16164592;15,63844967
14,17305618;15,57603931;;14,14996871;16,35128212;;14,39915526;14,63340759;;14,15065959;15,90773678
14,16206985;15,84373951;;14,13996657;16,60018349;;14,38815367;14,87400818;;14,14065746;16,15138817
14,15109115;16,11058617;;14,12898025;16,87362099;;14,37813628;15,08799744;;14,12967113;16,41457176
14,14108902;16,34837914;;14,11798629;17,14815712;;14,36813414;15,29954529;;14,1186848;16,67860985
14,13010269;16,59801292;;14,10797652;17,39400673;;14,35715544;15,53013611;;14,10868266;16,91969872
14,11911636;16,85692406;;14,09797439;17,63790321;;14,34616911;15,77061462;;14,09868053;17,15822411
14,1091066;17,09068871;;14,08796462;17,88436317;;14,33616698;15,99021912;;14,08768657;17,42152977
14,09910446;17,3292141;;14,07697066;18,15389442;;14,32614958;16,20762634;;14,07768443;17,66676903
14,08910232;17,57359886;;14,06598433;18,42952919;;14,31613219;16,42478943;;14,06669811;17,93947411
14,07810837;17,83800316;;14,05596694;18,67745399;;14,30610716;16,63853455;;14,05668071;18,18764305
14,06712204;18,10252953;;14,04594954;18,92891884;;14,29610503;16,8513031;;14,04666332;18,4349575
14,05711227;18,34569359;;14,03592452;19,17733192;;14,28512633;17,0811615;;14,03663829;18,69264793
14,04709488;18,59703636;;14,02493819;19,45430946;;14,27511656;17,29917908;;14,02565196;18,95570946
14,03707748;18,83397484;;14,01396307;19,72072029;;14,2641226;17,53831482;;14,01466564;19,22450829
14,02609115;19,10484886;;14,00296911;19,9965992;;14,25312865;17,77452087;;14,00367931;19,48952293
14,01510483;19,37669945;;13,99199041;20,26918221;;14,24312651;17,98838806;;13,99269298;19,75722313
14,00411087;19,64500999;;13,98198065;20,52321053;;14,23215544;18,22496033;;13,98269084;20,00429344
13,99311691;19,91112328;;13,97197088;20,77797127;;14,22116148;18,46739197;;13,97267345;20,25966454
13,98310715;20,15587425;;13,96097692;21,05262947;;14,21115172;18,69017029;;13,96167949;20,53493309
13,97309738;20,40123558;;13,95097479;21,30531502;;14,20114803;18,91430092;;13,95068553;20,80641747
13,96309524;20,63658714;;13,94096502;21,56642342;;14,19113827;19,13390541;;13,94066814;21,05251122
13,95309311;20,86900902;;13,93094763;21,81837654;;14,18113613;19,36120033;;13,93065837;21,30360985
13,94308334;21,10350609;;13,92093786;22,07972908;;14,17111873;19,58886147;;13,92064861;21,54982567
13,93307358;21,34984398;;13,9109281;22,34584236;;14,16013241;19,83605385;;13,91063884;21,80531883
13,92306381;21,58507347;;13,89993414;22,62501717;;14,14914608;20,07799721;;13,89964488;22,09242821
13,91306167;21,83543968;;13,88895544;22,90919685;;14,13815212;20,3267765;;13,88866619;22,37978172
13,90305954;22,08141136;;13,87796148;23,20778084;;14,12717342;20,56762123;;13,87866405;22,63942528
13,89208084;22,34642601;;13,86795935;23,46766853;;14,11618709;20,81127357;;13,86866191;22,89735985
13,88108688;22,60997581;;13,85698065;23,75636482;;14,10617733;21,03539467;;13,85767558;23,17812157
